VideoID,Title,URL,Problem,Solution,Topics,Subtopics,ViewCount,LikeCount
dgmwJWLs084,5 tips for Rough-in Phase on New Construction. Electrical wiring.,https://www.youtube.com/watch?v=dgmwJWLs084,"Trim-out becomes difficult or error-prone because of poor rough‑in practices (misplaced/hidden wires, unlabeled boxes, wrong receptacle/fixture locations, premature panel make-up) leading to rework, safety risks, theft, or lost follow-up work.","Use consistent rough‑in practices: curl and stub wires into accessible stud locations and cabinets, label every box, photograph completed rough‑in, set appliance/fixture outlet heights (e.g., dryer), communicate desired stub locations to trades, avoid installing breakers or fully making up the panel on rough‑in, and standardize methods so trim‑out is easy, safe, and repeatable.","Wiring (45%), Safety (25%), Planning (15%), Education (10%), Tools (5%)","Rough‑in wiring best practices (curling/stubbing, accessible studs) (30%), Panel & breaker handling / temporary power prevention (do not make up panel) (25%), Labeling and photo documentation of rough‑in (15%), Fixture and receptacle placement & heights (vanity centering, dryer, under‑sink) (15%), Consistency and trim‑out planning (cookie‑cutter methods, contractor communication) (10%), Tools & methods (cut‑in boxes, tape/measuring, photo tools) (5%)",94626.0,1683.0
1D5OqJ5SF_I,How To Install Rough In Electricity In A New Construction House - Beginners Guide To Electrical,https://www.youtube.com/watch?v=1D5OqJ5SF_I,"Installing rough-in electrical for a new-construction bedroom—placing and anchoring switch, receptacle and ceiling-fan boxes, running 12-2 and 12-3 cable, routing to the panel, and meeting outlet spacing and fastening requirements.","Mounted switch and receptacle boxes flush to studs, installed a saddle box on the rafter for the ceiling fan, drilled straight through studs and ran 12-2/12-3 NM cable (stapling within code distances), followed the 6‑12 outlet spacing rule, tied and crimped grounds, labeled cable runs, and routed the home-run to the panel for final termination after drywall.","Wiring (45%), Codes & Regulations (20%), Tools (15%), Planning (10%), Safety (10%)","Cable runs, box placement and wiring (35%), Outlet spacing / 6-12 NEC rule (20%), Tools & fasteners: drills, right-angle attachment, staples, wire strippers (15%), Ceiling fan saddle box & mounting (10%), Circuit planning (one circuit per bedroom) and labeling (10%), Grounding, stapling clearance and temporary panel safety (10%)",2209671.0,61259.0
IZthjsIQ680,Electrical rough-ins are always fun!! #electrician,https://www.youtube.com/watch?v=IZthjsIQ680,"Completing the electrical rough-in for a new house—placing switches/outlets, running all wiring to the panel, and provisioning an EV (Tesla) plug.","Electricians performed the rough-in: ran wiring to locations (switches, outlets, vents), pulled all conductors to the electrical panel, set up the panel, and installed a Tesla plug-ready outlet.","Wiring (60%), Planning (20%), Technology (20%)","Circuit rough-in & cable routing (50%), Electrical panel installation/setup (20%), EV charger (Tesla) provision/installation (20%), Job coordination / roughing sequencing (10%)",468126.0,12275.0
daci3qUFvIU,Electrical Construction,https://www.youtube.com/watch?v=daci3qUFvIU,"Prospective students need a clear, comprehensive pathway showing how the OSU Institute of Technology Electrical Construction associate degree prepares them for real-world electrician roles and leadership positions across residential, commercial, and industrial sectors, including hands‑on skills, safety, codes, internships, and career placement (adjusted for current constraints).","A structured associate curriculum combining foundational theory (AC/DC), wiring methods, motor controls and PLCs, NEC and estimating, blueprint reading, OSHA safety training, hands‑on lab work with industry tools/equipment, paid internships and a capstone — with some second‑year courses offered online — to prepare students for journeyman exams, job placement, and leadership/ownership roles.","Education (35%), Wiring (20%), Tools (10%), Safety (10%), Codes & Regulations (10%), Technology (10%), Planning (5%)","Curriculum & career pathway (25%), Hands‑on wiring methods & labs (20%), Apprenticeships/internships & job placement (15%), Safety training (OSHA 30) (10%), NEC comprehension & estimating (10%), Tools, testing equipment & conduit work (10%), PLCs & motor control fundamentals (10%)",659.0,11.0
lgT3vJ-e-IY,NEW BUILD TIPS: WHAT I WISH I KNEW BEFORE OUR ELECTRICAL APPOINTMENT | Watch This Before You Go!,https://www.youtube.com/watch?v=lgT3vJ-e-IY,"Homebuyers often overlook the electrical design appointment when building a home, leading to missed outlet/lighting placement, insufficient pre-wiring for low-voltage systems or future upgrades, and costly retrofits later.","Prepare ahead and use the appointment to lock in locations and pre-wires: review each room's function and furniture layout, inspect the model home, plan outlet/switch/lighting placement (including hidden outlets, ceiling fan pre-wires, dedicated switches and dimmers), request low-voltage and future-proofing pre-wires (security, home automation, TV tunnels, generator/solar/central vacuum), document locations with photos/measures before drywall, and review the pricing sheet within the decision period.","Planning (40%), Wiring (30%), Technology (15%), Education (10%), Tools (5%)","Room function & lighting layout (40%), Outlet, switch and hidden outlet placement (25%), Low-voltage / home automation / security pre-wires (15%), Future-proofing pre-wires (generator, solar, central vacuum, TV tunnels) (10%), Documentation & measurement (photos, tape measure) (10%)",60843.0,996.0
syaGf_XUMxA,Electrical Wiring Basics,https://www.youtube.com/watch?v=syaGf_XUMxA,"Explaining and planning the basic electrical wiring for a garage/subpanel project (circuits, outlets, lights, three-way switches, correct wire/breaker pairing, grounding) so a DIYer can safely prepare for the actual installation.","A step-by-step verbal walkthrough and diagram-based overview: choice of Romex (12/2, 14/2, 14/3), matching wire gauge to breaker amperage, grounding and neutral bus separation in a subpanel, outlet and light wiring (including pigtails), and detailed explanation of three-way switch traveler wiring, plus safety reminders and promise of a follow-up video showing the physical wiring.","Wiring (45%), Education (20%), Safety (15%), Codes & Regulations (10%), Planning (7%), Tools (3%)","Circuit wiring & Romex gauge (30%), Three-way switch travelers (15%), Outlet/lighting wiring and pigtails (15%), Grounding and neutral/subpanel separation (10%), Breaker selection and ampacity matching (10%), Panel compatibility and breaker type (6%), Instructional/DIY teaching approach (7%), Safety practices and PPE reminders (4%), Material/circuit planning (2%), General tool mentions (1%)",3790320.0,106600.0
xTpl7WYMkcA,5 Tips for New Construction Electrical &amp; Smart Lighting!,https://www.youtube.com/watch?v=xTpl7WYMkcA,"Deciding electrical choices and installation details for a new-build rough-in: wire gauge and breaker sizing, feeder material, air-sealing of penetrations, fixture and box selection, smart lighting integration, and how to instruct/bid electricians.","Used 12-2 copper throughout for 20 A circuits, ran a #2 copper feeder to a subpanel, specified one-hole-per-wire and pre-blocking to enable effective air sealing, selected Halo Bluetooth mesh smart lighting (hardwired keypads/switches and wafer-thin fixtures) and planned fixture locations on a reflected ceiling plan, used Arlington recessed and airtight boxes for exterior/party-use and sound/air control, and pre-wired dedicated 220V circuits (oven, HVAC, heated floor) while documenting choices for electrician bids.","Wiring (35%), Planning (25%), Technology (20%), Education (15%), Safety (5%)","Wire gauge & breaker sizing (25%), Feeder conductor material: copper vs aluminum (10%), Air sealing, penetration strategy & blocking (20%), Smart lighting ecosystem, keypads & Bluetooth mesh (20%), Fixture selection, canless/wafer fixtures & reflected ceiling plan (10%), Specialty boxes (recessed, airtight, in-use) (10%), Dedicated appliance/heated-floor circuits (5%)",218206.0,4715.0
A0cXKa4Y3do,How to bend and install electrical conduit,https://www.youtube.com/watch?v=A0cXKa4Y3do,"Install a code-compliant metal conduit electrical rough-in in a small shed — including mounting steel boxes, drilling through studs/plates, bending conduit (90s, offsets, kicks), connecting and reaming conduit, and properly fastening/strapping — while making the process accessible to beginners.","Step-by-step tutorial: mount 1900 bracket steel boxes at standard heights with exterior-rated deck screws; lay out circuit flow and mark holes; drill through studs/plates; install zinc set-screw connectors and ream conduit ends; measure and bend 90s and offsets using bender stub offsets (accounting for bender-specific measurements), cut to length (use 16"" on-center increments to simplify runs), assemble with couplings, apply kicks to position conduit in holes, strap conduit to studs, and tighten connectors — plus tool tips (Klein pouch, channel locks, marker) and code-aware fastener selection to avoid galvanic corrosion.","Wiring (45%), Education (25%), Tools (15%), Codes & Regulations (15%)","Conduit bending & offsets (30%), Box mounting & placement (20%), Measurement & layout planning (20%), Fasteners, connectors & reaming (15%), Drilling holes, through-plates & strapping (15%)",1505633.0,41767.0
nJIe2E3_c1U,Construction workers can&#39;t believe this machine. Incredible modern construction technology.,https://www.youtube.com/watch?v=nJIe2E3_c1U,"The transcript addresses the construction industry's need to become faster, more efficient, less wasteful, and safer by adopting modern construction technologies and equipment.","Deploy a range of construction technologies — adjustable formwork for stairs, walk-behind high-tip dumpers, precast/modular systems, GPS-guided slipform paving, concrete deconstruction/recycling robots, and advanced finishing/compaction equipment — to reduce on-site time, labor and material costs, minimize waste and environmental impact, and improve precision and productivity.","Technology (60%), Tools (25%), Planning (10%), Education (5%)","Construction Technology & Automation (35%), GPS-guided Paving / Slipform Machines (10%), Deconstruction & Recycling Technology (10%), Precast / Prefabrication (5%), Heavy Machinery / Mini-dumpers (10%), Formwork & Adjustable Molds (8%), Concrete Finishing & Compaction Equipment (7%), Project Planning: Time, Cost & Site Logistics (10%), Education / Industry Adoption (5%)",4076829.0,22587.0
8sO2MOQWh8U,Safety Warning For The New Apprentice #knipex #knipextools #electrician #electrical #construction,https://www.youtube.com/watch?v=8sO2MOQWh8U,High-quality wire cutters are being damaged and dulled because they're being used to cut nails and pull staples — tasks they're not intended for.,"Use the right tool for the job (reserve precision wire cutters for copper/aluminum wire), use heavier-duty bolt cutters or dedicated staple/nail tools for nails/staples, and care for/maintain quality tools to preserve lifespan.","Tools (65%), Safety (20%), Education (15%)","Tool selection & durability (35%), Tool misuse & damage (20%), Tool maintenance & longevity (10%), Safe usage & PPE (15%), Proper applications & limits (5%), Demonstration & recommendations (15%)",4092392.0,225225.0
2noHrGkGuhQ,Electrical 101: Basic Wiring Knowledge,https://www.youtube.com/watch?v=2noHrGkGuhQ,"Organizing and completing the residential electrical wiring in a service panel and multiple junction boxes—managing grounds, neutrals, hot/switch conductors, home runs, and GFCI-protected circuits while keeping the installation safe and understandable.","Systematically tied all grounds together and all neutrals together, separated and labeled hot and switch wires (keeping switches de-energized while working), routed and strapped home-run conductors to their destination boxes, configured GFCI load and line so downstream outlets are protected, and organized conductors in each box for final connections; explained the process step-by-step for clarity.","Wiring (55%), Planning (20%), Safety (15%), Education (10%)","Circuit design & termination (55%), Home-run layout & box organization (20%), Grounding & GFCI protection (15%), Instructional explanation/demonstration (10%)",295607.0,3723.0
dJOAA9RPf_c,Avoid Costly Mistakes |Electrical Walk-through Checklist for New Homes |New Construction Homes in GA,https://www.youtube.com/watch?v=dJOAA9RPf_c,"Homebuyers/builders are often unprepared for the detailed, room-by-room electrical walkthrough for new construction and frequently overlook outlet, lighting, and wiring decisions that cause inconvenience or added cost later.","Use a prepared checklist and measurements, bring note-taking tools, review each room systematically (exterior, garage, living areas, bedrooms, bathrooms, kitchen, general), plan outlet/lighting/switch locations and future-proofing (EV charger, outdoor kitchen, home automation, pre-wires), document decisions in writing and photos before drywall, and circulate notes to all parties to ensure alignment and avoid disputes.","Planning (45%), Wiring (30%), Technology (15%), Education (7%), Tools (3%)","Walkthrough checklist & written documentation (25%), Outlet & lighting placement (20%), Future-proofing & dedicated circuits (EV, outdoor kitchen, heated floors) (18%), TV/AV concealment, built-ins & inset wiring (12%), Home automation & security panel placement (8%), Switch placement & accessibility (7%), Measurement, photos/video before drywall & site notes (5%), On-site tools (measuring tape, clipboard, pen) (5%)",21282.0,463.0
wDLa_A7wGrQ,Electrical Rough-In Inspection (New Construction),https://www.youtube.com/watch?v=wDLa_A7wGrQ,Identifying common violations and missing items during an electrical rough-in inspection of a new single-family home.,"Conduct a room-by-room rough inspection checklist: verify outlet placement (one per wall, kitchen sink/laundry requirements, exterior/condenser outlets), confirm Romex routing and securing (staples within 12"", limit wires per hole), ensure smoke/CO alarm boxes and attic service outlet for mechanical units, check panel (neutral/ground separation, torque), require nail guards/metal plates and sealed penetrations, and confirm NEC-based compliance (noting NEC17 → NEC20 transition).","Wiring (45%), Codes & Regulations (25%), Safety (15%), Planning (10%), Education (5%)","Outlet placement & spacing (20%), Cable routing & securing (Romex through plates, staples, fill limits) (20%), Smoke & CO alarm locations (10%), Code compliance / NEC references (17→20, box fill limits) (15%), Protective measures (nail guards, metal/bulkhead plates, sealing penetrations) (12%), Panel inspection & grounding (neutrals vs grounds, torque, service routing) (13%), Attic/mechanical requirements (service outlet, light for air handler) (5%), Exterior fixtures & condenser outlet (5%)",406876.0,6645.0
9hlo87E_GdQ,5 CLEVER Electrical Tricks Everyone Should Know,https://www.youtube.com/watch?v=9hlo87E_GdQ,"The transcript addresses common DIY electrical connection problems: unreliable wire-nut connections, weak/incorrect splices, damaged power cords near plugs, poor screw-terminal terminations, and inefficient/unsafe stripping tools and methods.","Replace wire nuts with visible lever-nuts for reliable splices; use a hooked/Western‑Union style splice plus heat‑shrink for strong wire repairs; cut off and fit a new replacement plug (match wire colors to screw colors) instead of replacing whole cords; orient hooks ""with the grain"" or use fork connectors for screw terminals; and use universal wire strippers to consistently strip many gauges without nicking conductors.","Tools (40%), Wiring (40%), Education (20%)","Connectors & terminals (lever-nuts, wire-nuts, screw/fork connectors) (30%), Splicing & cord repair techniques (hook/knotted splice, heat-shrink, plug replacement) (30%), Wire stripping tools & methods (universal wire strippers, depth stops, adjustment) (20%), Best practices & safety tips (orientation ""with the grain"", secure clamps, visual verification) (20%)",3577164.0,55756.0
