VideoID,Title,URL,Problem,Solution,Topics,Subtopics,ViewCount,LikeCount,Summary
dgmwJWLs084,5 tips for Rough-in Phase on New Construction. Electrical wiring.,https://www.youtube.com/watch?v=dgmwJWLs084,"Trim-out becomes difficult or error-prone because of poor rough‑in practices (misplaced/hidden wires, unlabeled boxes, wrong receptacle/fixture locations, premature panel make-up) leading to rework, safety risks, theft, or lost follow-up work.","Use consistent rough‑in practices: curl and stub wires into accessible stud locations and cabinets, label every box, photograph completed rough‑in, set appliance/fixture outlet heights (e.g., dryer), communicate desired stub locations to trades, avoid installing breakers or fully making up the panel on rough‑in, and standardize methods so trim‑out is easy, safe, and repeatable.","Wiring (45%), Safety (25%), Planning (15%), Education (10%), Tools (5%)","Rough‑in wiring best practices (curling/stubbing, accessible studs) (30%), Panel & breaker handling / temporary power prevention (do not make up panel) (25%), Labeling and photo documentation of rough‑in (15%), Fixture and receptacle placement & heights (vanity centering, dryer, under‑sink) (15%), Consistency and trim‑out planning (cookie‑cutter methods, contractor communication) (10%), Tools & methods (cut‑in boxes, tape/measuring, photo tools) (5%)",94626.0,1683.0,"This transcript explains rough-in wiring tips for new residential construction (a barndominium) to make trim-out easier, covering center-placement and curling of vanity whips, labeling boxes, stubbing receptacles into cabinets, photographing completed rough work, setting washer/dryer outlets higher, and avoiding making up the panel. It discusses switch and lighting placement, receptacle locations, circuit labeling, grounding and neutral terminations, arc-fault/GFCI breaker considerations, and risks of temporary power/backfeeding. It explains the notable insight to never fully terminate and install breakers on the rough-in (theft, safety, backfeed risks, and preserving trim-out work/value) and to document and standardize placements. Overall, it emphasizes consistent, cookie‑cutter rough-in practices (proper stubs, labels, photos, and leaving the panel incomplete) to ensure safety and a smooth, profitable trim-out."
1D5OqJ5SF_I,How To Install Rough In Electricity In A New Construction House - Beginners Guide To Electrical,https://www.youtube.com/watch?v=1D5OqJ5SF_I,"Installing rough-in electrical for a new-construction bedroom—placing and anchoring switch, receptacle and ceiling-fan boxes, running 12-2 and 12-3 cable, routing to the panel, and meeting outlet spacing and fastening requirements.","Mounted switch and receptacle boxes flush to studs, installed a saddle box on the rafter for the ceiling fan, drilled straight through studs and ran 12-2/12-3 NM cable (stapling within code distances), followed the 6‑12 outlet spacing rule, tied and crimped grounds, labeled cable runs, and routed the home-run to the panel for final termination after drywall.","Wiring (45%), Codes & Regulations (20%), Tools (15%), Planning (10%), Safety (10%)","Cable runs, box placement and wiring (35%), Outlet spacing / 6-12 NEC rule (20%), Tools & fasteners: drills, right-angle attachment, staples, wire strippers (15%), Ceiling fan saddle box & mounting (10%), Circuit planning (one circuit per bedroom) and labeling (10%), Grounding, stapling clearance and temporary panel safety (10%)",2209671.0,61259.0,"This transcript explains how to install rough‑in electrical in a new construction bedroom, covering placement and mounting of switch and receptacle boxes, installing a saddle box for a ceiling fan, running 12‑3 and 12‑2 cable, drilling and stapling techniques, grounding with crimp sleeves, and the 6‑12 outlet spacing rule. It discusses circuit planning (one bedroom per breaker/home run), conductor choices (12‑2 vs 12‑3 for separate fan/light control), neutral/hot/ground routing, staple distances, and labeling for later tie‑in. It explains practical tips like marking box heights (switch at ~4 ft, outlets ~18 in), centering the fan box, pre‑bending cable to fish corners, and securing grounds and cables for drywall. Overall, it emphasizes meeting code spacing, safe, orderly cable runs, and prepping the boxes properly so drywall and final fixtures can be installed easily."
IZthjsIQ680,Electrical rough-ins are always fun!! #electrician,https://www.youtube.com/watch?v=IZthjsIQ680,"Completing the electrical rough-in for a new house—placing switches/outlets, running all wiring to the panel, and provisioning an EV (Tesla) plug.","Electricians performed the rough-in: ran wiring to locations (switches, outlets, vents), pulled all conductors to the electrical panel, set up the panel, and installed a Tesla plug-ready outlet.","Wiring (60%), Planning (20%), Technology (20%)","Circuit rough-in & cable routing (50%), Electrical panel installation/setup (20%), EV charger (Tesla) provision/installation (20%), Job coordination / roughing sequencing (10%)",468126.0,12275.0,"This transcript explains the electrical rough-in for a house build, covering placement of switches and outlets, running of wiring to vents and the electrical panel, and installation of a Tesla EV outlet. It discusses electrical engineering aspects such as cable routing, panel termination and circuit consolidation, and provision for an EV charging circuit. It explains the notable insight that the electricians performed neat, thorough work with all wires pulled to the panel and components well-organized. Overall, it emphasizes steady progress on the home's electrical installation and readiness for future EV charging."
daci3qUFvIU,Electrical Construction,https://www.youtube.com/watch?v=daci3qUFvIU,"Prospective students need a clear, comprehensive pathway showing how the OSU Institute of Technology Electrical Construction associate degree prepares them for real-world electrician roles and leadership positions across residential, commercial, and industrial sectors, including hands‑on skills, safety, codes, internships, and career placement (adjusted for current constraints).","A structured associate curriculum combining foundational theory (AC/DC), wiring methods, motor controls and PLCs, NEC and estimating, blueprint reading, OSHA safety training, hands‑on lab work with industry tools/equipment, paid internships and a capstone — with some second‑year courses offered online — to prepare students for journeyman exams, job placement, and leadership/ownership roles.","Education (35%), Wiring (20%), Tools (10%), Safety (10%), Codes & Regulations (10%), Technology (10%), Planning (5%)","Curriculum & career pathway (25%), Hands‑on wiring methods & labs (20%), Apprenticeships/internships & job placement (15%), Safety training (OSHA 30) (10%), NEC comprehension & estimating (10%), Tools, testing equipment & conduit work (10%), PLCs & motor control fundamentals (10%)",659.0,11.0,"This transcript explains the OSU Institute of Technology electrical construction associate-degree program virtual tour, covering curriculum and hands-on labs including AC/DC theory, residential/commercial/industrial wiring methods, motor controls and PLCs, National Electrical Code and calculations, estimating, safety/OSHA 30, conduit bending and testing equipment, plus paid internships and job placement. It discusses relevant Electrical Engineering aspects such as three-phase panels, circuit protection (fuses, breakers, CTs), motor starters and control circuits, low-voltage systems, grounding and measurement techniques, and explains the notable insight that the program is intentionally designed to fast-track graduates into leadership, estimating, project management or business-ownership roles beyond basic journeyman skills through focused coursework, industry instructors and paid field experience. Overall, it emphasizes career readiness through practical training, strong employer connections, and the potential for above-average earnings and rapid advancement into leadership."
lgT3vJ-e-IY,NEW BUILD TIPS: WHAT I WISH I KNEW BEFORE OUR ELECTRICAL APPOINTMENT | Watch This Before You Go!,https://www.youtube.com/watch?v=lgT3vJ-e-IY,"Homebuyers often overlook the electrical design appointment when building a home, leading to missed outlet/lighting placement, insufficient pre-wiring for low-voltage systems or future upgrades, and costly retrofits later.","Prepare ahead and use the appointment to lock in locations and pre-wires: review each room's function and furniture layout, inspect the model home, plan outlet/switch/lighting placement (including hidden outlets, ceiling fan pre-wires, dedicated switches and dimmers), request low-voltage and future-proofing pre-wires (security, home automation, TV tunnels, generator/solar/central vacuum), document locations with photos/measures before drywall, and review the pricing sheet within the decision period.","Planning (40%), Wiring (30%), Technology (15%), Education (10%), Tools (5%)","Room function & lighting layout (40%), Outlet, switch and hidden outlet placement (25%), Low-voltage / home automation / security pre-wires (15%), Future-proofing pre-wires (generator, solar, central vacuum, TV tunnels) (10%), Documentation & measurement (photos, tape measure) (10%)",60843.0,996.0,"This transcript explains the electrical design appointment process for new home builds, covering the separation of low‑ and high‑voltage reviews, outlet/switch/potlight placement, pre‑wires (TV, security, central vacuum, ceiling fans), lighting choices (pendants, sconces, task and accent lighting), and budgeting/backshell items like generators and solar. It discusses Electrical Engineering aspects such as wiring and conduit placement, circuit and switch segregation (separate controls for recessed lights vs pendants), low‑voltage systems, in‑wall cable routing (""future‑proof"" tunnels), power requirements for fixtures and appliances (e.g., bidets, vacuums), and the value of pre‑wiring to avoid costly retrofits. It explains the notable insight that planning room function and furniture layout, documenting locations before drywall, and reviewing pricing sheets after the appointment lets you avoid shadows, optimize task lighting, and enable home automation and future expansions. Overall, it emphasizes proactive pre‑planning and pre‑wiring during the electrical design day to save money, improve functionality, and preserve resale value."
syaGf_XUMxA,Electrical Wiring Basics,https://www.youtube.com/watch?v=syaGf_XUMxA,"Explaining and planning the basic electrical wiring for a garage/subpanel project (circuits, outlets, lights, three-way switches, correct wire/breaker pairing, grounding) so a DIYer can safely prepare for the actual installation.","A step-by-step verbal walkthrough and diagram-based overview: choice of Romex (12/2, 14/2, 14/3), matching wire gauge to breaker amperage, grounding and neutral bus separation in a subpanel, outlet and light wiring (including pigtails), and detailed explanation of three-way switch traveler wiring, plus safety reminders and promise of a follow-up video showing the physical wiring.","Wiring (45%), Education (20%), Safety (15%), Codes & Regulations (10%), Planning (7%), Tools (3%)","Circuit wiring & Romex gauge (30%), Three-way switch travelers (15%), Outlet/lighting wiring and pigtails (15%), Grounding and neutral/subpanel separation (10%), Breaker selection and ampacity matching (10%), Panel compatibility and breaker type (6%), Instructional/DIY teaching approach (7%), Safety practices and PPE reminders (4%), Material/circuit planning (2%), General tool mentions (1%)",3790320.0,106600.0,"This transcript explains DIY residential electrical wiring for a garage/subpanel and basic circuits, covering how to wire outlets, lights, switches and three‑way switches. It discusses key technical points such as using Romex (12-2, 14-2, 14-3), hot/neutral/ground connections, traveler wires for three‑way switches, breaker ampacity and wire gauge matching, pigtails for multiple conductors, subpanel neutral/ground separation, and breaker compatibility (and a brief mention of GFCIs). It discusses relevant Electrical Engineering aspects like current flow and closed circuits, conductor gauge versus allowable current, the function of breakers and bus bars, and grounding for safety. Overall, it emphasizes proper wiring practices — be consistent, avoid unsafe shortcuts (like repurposing neutrals), match wire to breaker, respect electricity, and that with care this wiring is straightforward and suitable for careful DIY work."
xTpl7WYMkcA,5 Tips for New Construction Electrical &amp; Smart Lighting!,https://www.youtube.com/watch?v=xTpl7WYMkcA,"Deciding electrical choices and installation details for a new-build rough-in: wire gauge and breaker sizing, feeder material, air-sealing of penetrations, fixture and box selection, smart lighting integration, and how to instruct/bid electricians.","Used 12-2 copper throughout for 20 A circuits, ran a #2 copper feeder to a subpanel, specified one-hole-per-wire and pre-blocking to enable effective air sealing, selected Halo Bluetooth mesh smart lighting (hardwired keypads/switches and wafer-thin fixtures) and planned fixture locations on a reflected ceiling plan, used Arlington recessed and airtight boxes for exterior/party-use and sound/air control, and pre-wired dedicated 220V circuits (oven, HVAC, heated floor) while documenting choices for electrician bids.","Wiring (35%), Planning (25%), Technology (20%), Education (15%), Safety (5%)","Wire gauge & breaker sizing (25%), Feeder conductor material: copper vs aluminum (10%), Air sealing, penetration strategy & blocking (20%), Smart lighting ecosystem, keypads & Bluetooth mesh (20%), Fixture selection, canless/wafer fixtures & reflected ceiling plan (10%), Specialty boxes (recessed, airtight, in-use) (10%), Dedicated appliance/heated-floor circuits (5%)",218206.0,4715.0,"This transcript explains electrical rough‑in and smart lighting choices for a new home, covering wire gauge selection (using 12‑2 Romex instead of 14‑2 to allow 20 A circuits), breaker sizing, a #2 copper feeder to a subpanel versus aluminum, one‑hole‑per‑conductor air‑sealing and blocking strategies (Prosoco Fast Flash, spray foam), Halo Home Bluetooth mesh fixtures/keypad layout, canless wafer‑thin downlights (HLB4), exterior floods, and specialty Arlington recessed/airtight boxes plus 220 V hookups for oven, HVAC and heated floors. It discusses electrical engineering aspects such as conductor sizing and ampacity, copper vs. aluminum behavior (oxidation, thermal expansion, long‑term connection integrity), circuit loading and nuisance tripping, direct wiring/junction box placement, and the implications of Bluetooth mesh control versus Wi‑Fi. It explains the notable insight that spending a bit more on heavier copper conductors, proper feeder material, airtight penetrations and purpose‑built boxes reduces callbacks, tripping, moisture and air leakage while enabling flexible, reliably wired smart lighting. Overall, it emphasizes instructing your electrician to specify 12‑2 copper and a copper feeder, plan for individual sealed penetrations and blocking, and consider reasonably priced wired smart fixtures and specialty boxes as durable, cost‑effective upgrades."
A0cXKa4Y3do,How to bend and install electrical conduit,https://www.youtube.com/watch?v=A0cXKa4Y3do,"Install a code-compliant metal conduit electrical rough-in in a small shed — including mounting steel boxes, drilling through studs/plates, bending conduit (90s, offsets, kicks), connecting and reaming conduit, and properly fastening/strapping — while making the process accessible to beginners.","Step-by-step tutorial: mount 1900 bracket steel boxes at standard heights with exterior-rated deck screws; lay out circuit flow and mark holes; drill through studs/plates; install zinc set-screw connectors and ream conduit ends; measure and bend 90s and offsets using bender stub offsets (accounting for bender-specific measurements), cut to length (use 16"" on-center increments to simplify runs), assemble with couplings, apply kicks to position conduit in holes, strap conduit to studs, and tighten connectors — plus tool tips (Klein pouch, channel locks, marker) and code-aware fastener selection to avoid galvanic corrosion.","Wiring (45%), Education (25%), Tools (15%), Codes & Regulations (15%)","Conduit bending & offsets (30%), Box mounting & placement (20%), Measurement & layout planning (20%), Fasteners, connectors & reaming (15%), Drilling holes, through-plates & strapping (15%)",1505633.0,41767.0,"This transcript explains how to rough‑in electrical using metal conduit and 1900 bracket steel boxes in a shed, covering mounting the boxes with exterior‑grade deck screws, installing zinc set‑screw connectors, drilling through studs/plates, measuring and bending 90° EMT (including accounting for the bender’s stub/offset), making offsets/kicks, reaming and cutting conduit, coupling runs, and strapping conduit at proper intervals. It discusses electrical aspects such as running separate circuits for baseboard heat, outlets and LED lighting, the need for tight metal‑to‑metal connections to maintain grounding continuity, and avoiding galvanic corrosion by using appropriate fasteners. It explains practical tips like marking full length then subtracting the bender stub, using a thumb to transfer marks, avoiding center knockouts and screw collisions, and reaming to prevent wire damage. Overall, it emphasizes safe, code‑compliant conduit techniques and efficient layout/measurement practices for reliable, professional rough‑in work."
nJIe2E3_c1U,Construction workers can&#39;t believe this machine. Incredible modern construction technology.,https://www.youtube.com/watch?v=nJIe2E3_c1U,"The transcript addresses the construction industry's need to become faster, more efficient, less wasteful, and safer by adopting modern construction technologies and equipment.","Deploy a range of construction technologies — adjustable formwork for stairs, walk-behind high-tip dumpers, precast/modular systems, GPS-guided slipform paving, concrete deconstruction/recycling robots, and advanced finishing/compaction equipment — to reduce on-site time, labor and material costs, minimize waste and environmental impact, and improve precision and productivity.","Technology (60%), Tools (25%), Planning (10%), Education (5%)","Construction Technology & Automation (35%), GPS-guided Paving / Slipform Machines (10%), Deconstruction & Recycling Technology (10%), Precast / Prefabrication (5%), Heavy Machinery / Mini-dumpers (10%), Formwork & Adjustable Molds (8%), Concrete Finishing & Compaction Equipment (7%), Project Planning: Time, Cost & Site Logistics (10%), Education / Industry Adoption (5%)",4076829.0,22587.0,"This transcript explains new construction technologies and equipment used to speed, automate, and recycle building processes, covering adjustable staircase/ramp molds, a diesel walk-behind high-tip mini dumper, precast concrete assembly, slip-form paving machines (PowerKerb series with millimeter GPS), comprehensive finishing/compaction tools, and the ERO concrete deconstruction robot that uses water jets and automated sorting to reclaim aggregate and rebar. It discusses relevant Electrical Engineering aspects such as power and drive systems (diesel/electric), embedded controls and automation, GPS-guided positioning, sensors and robotics, and actuation for water-jet and material handling, and explains the notable insight that integrated automation and material-recovery technologies transform waste into reusable assets. Overall, it emphasizes that modern construction is moving toward prefabrication, automation, reduced site labor and environmental impact, and improved efficiency through technology."
8sO2MOQWh8U,Safety Warning For The New Apprentice #knipex #knipextools #electrician #electrical #construction,https://www.youtube.com/watch?v=8sO2MOQWh8U,High-quality wire cutters are being damaged and dulled because they're being used to cut nails and pull staples — tasks they're not intended for.,"Use the right tool for the job (reserve precision wire cutters for copper/aluminum wire), use heavier-duty bolt cutters or dedicated staple/nail tools for nails/staples, and care for/maintain quality tools to preserve lifespan.","Tools (65%), Safety (20%), Education (15%)","Tool selection & durability (35%), Tool misuse & damage (20%), Tool maintenance & longevity (10%), Safe usage & PPE (15%), Proper applications & limits (5%), Demonstration & recommendations (15%)",4092392.0,225225.0,"This transcript explains a brief hands‑on review of Knipex hand tools (wire cutters and high‑leverage bolt cutters), covering price, cutting capabilities for copper and aluminum conductors, high‑leverage/Cobalt construction, durability, and the damage caused by misuse. It discusses relevant Electrical Engineering aspects such as suitability for cutting copper/aluminum wiring, tool selection for reliable field work, and maintenance to preserve cutting edges. It explains the notable insight that these are heirloom‑quality tools when used as intended but are quickly ruined by cutting nails or pulling staples. Overall, it emphasizes using the correct tool for the job to maintain performance and longevity."
