VideoID,CommentID,ThemesJSON
-1FspZBIK2E,UgwRyKSahHHlvhMDmPB4AaABAg,"{""Load calculation methods"": 50, ""Motor circuits and motor controls"": 30, ""NEC article interpretation"": 20}"
-VJQ4pi4GA4,UgzaqBSJn6OF-6fXFrd4AaABAg,"{""Panelboards and load centers"": 20, ""Overcurrent protection"": 30, ""Ground fault protection"": 20, ""Receptacles and device outlets"": 15, ""Luminaires and lighting fixtures"": 15}"
-VJQ4pi4GA4,UgwN22TDtcSltJXbdA54AaABAg,"{""Load calculation methods"": 50, ""Panelboards and load centers"": 30, ""Overcurrent protection"": 20}"
-VJQ4pi4GA4,Ugyg29pO23J0-xbW_Sl4AaABAg,"{""Panelboards and load centers"": 40, ""Branch circuit design"": 35, ""Arc fault protection"": 13, ""Ground fault protection"": 12}"
-VJQ4pi4GA4,UgyeRF6bhfHLkpv3lx94AaABAg,"{""Panelboards and load centers"": 30, ""Power distribution systems"": 30, ""Branch circuit design"": 25, ""Blueprint reading and electrical drafting"": 15}"
-VJQ4pi4GA4,Ugx0D1fACbB55ECixHp4AaABAg,"{""Receptacles and device outlets"": 40, ""Panelboards and load centers"": 30, ""Electrical service equipment"": 30}"
-VJQ4pi4GA4,UgymBRNKR3ap9duHT9x4AaABAg,"{""Panelboards and load centers"": 40, ""Branch circuit design"": 35, ""Arc fault protection"": 13, ""Ground fault protection"": 12}"
-VJQ4pi4GA4,UgwmaHIwwFpl-sX64oJ4AaABAg,"{""Panelboards and load centers"": 60, ""Commissioning and troubleshooting"": 25, ""Electrical service equipment"": 15}"
-VJQ4pi4GA4,UgxiFFTx7VSqPFa5sxd4AaABAg,"{""Electrical theory and fundamentals"": 40, ""Panelboards and load centers"": 35, ""Branch circuit design"": 25}"
-VJQ4pi4GA4,Ugy8SWkNc1DjevHQNcp4AaABAg,"{""Panelboards and load centers"": 35, ""Branch circuit design"": 30, ""Overcurrent protection"": 35}"
-VJQ4pi4GA4,UgwsTX_KhhMhoz6LnEp4AaABAg,"{""Panelboards and load centers"": 40, ""Arc fault protection"": 15, ""Ground fault protection"": 15, ""Branch circuit design"": 30}"
-VJQ4pi4GA4,UgzmlSN5Emnw-XB79P14AaABAg,"{""Panelboards and load centers"": 40, ""Branch circuit design"": 30, ""Arc fault protection"": 8, ""Ground fault protection"": 7, ""Conductor sizing and ampacity"": 15}"
-VJQ4pi4GA4,UgzRjyRbeSZyx01Ya894AaABAg,"{""Receptacles and device outlets"": 50, ""Branch circuit design"": 30, ""Ground fault protection"": 20}"
-VJQ4pi4GA4,Ugybzp4EUq45NSZAkrd4AaABAg,"{""Receptacles and device outlets"": 40, ""Panelboards and load centers"": 35, ""Luminaires and lighting fixtures"": 25}"
-VJQ4pi4GA4,UgyMKqo0TwBuu9lIwZt4AaABAg,"{""Luminaires and lighting fixtures"": 40, ""Branch circuit design"": 30, ""Panelboards and load centers"": 20, ""Receptacles and device outlets"": 10}"
-VJQ4pi4GA4,Ugz_qHpH4TTaRd2uxBl4AaABAg,"{""Panelboards and load centers"": 50, ""Branch circuit design"": 30, ""Electrical service equipment"": 20}"
-VJQ4pi4GA4,Ugy1pdE6WNvtvGXUsxt4AaABAg,"{""Electrical theory and fundamentals"": 50, ""Power distribution systems"": 30, ""Panelboards and load centers"": 20}"
-cuW5q7dJ1A,UgxN5k-2aaktJvzqLoZ4AaABAg,"{""Luminaires and lighting fixtures"": 35, ""Grounding systems"": 18, ""Bonding systems"": 17, ""Conductor sizing and ampacity"": 30}"
-cuW5q7dJ1A,UgywLwMBCKR9Szwh62R4AaABAg,"{""Luminaires and lighting fixtures"": 40, ""Switching devices and control"": 35, ""Wire gauge and conductor selection"": 25}"
-cuW5q7dJ1A,UgyEFDegPuNdIFDkfbh4AaABAg,"{""Electrical theory and fundamentals"": 50, ""Transformers and power conversion"": 30, ""Inspection and testing procedures"": 20}"
-cuW5q7dJ1A,UgxeVdh6sAxiNScprHl4AaABAg,"{""Conductor terminations and splicing"": 50, ""Workmanship and installation quality"": 30, ""Code compliance and standards"": 20}"
-cuW5q7dJ1A,UgxCeBmbn9eTcDY7k0N4AaABAg,"{""Conductor terminations and splicing"": 40, ""Conductor insulation types"": 35, ""Cable management and labeling"": 25}"
-cuW5q7dJ1A,UgzULyu6YWYZ-qQgpvx4AaABAg,"{""Grounding systems"": 20, ""Bonding systems"": 20, ""Conductor sizing and ampacity"": 30, ""Switching devices and control"": 30}"
-cuW5q7dJ1A,UgzzMZL6UcFmfwYFaBd4AaABAg,"{""Conductor sizing and ampacity"": 40, ""Wire gauge and conductor selection"": 30, ""Grounding systems"": 15, ""Bonding systems"": 15}"
-cuW5q7dJ1A,Ugy6vr5SGEig0l_rwfF4AaABAg,"{""Inspection and testing procedures"": 40, ""Jobsite workflow, tools, and best practices"": 40, ""PPE usage and hazard mitigation"": 20}"
-cuW5q7dJ1A,Ugw0fOQZqq2fmrmH8xV4AaABAg,"{""Conductor terminations and splicing"": 50, ""Jobsite workflow, tools, and best practices"": 30, ""PPE usage and hazard mitigation"": 20}"
-cuW5q7dJ1A,Ugxu9iWhBMvxM01SZPF4AaABAg,"{""Wire gauge and conductor selection"": 40, ""Conductor sizing and ampacity"": 35, ""Grounding systems"": 13, ""Bonding systems"": 12}"
-cuW5q7dJ1A,Ugz5T2DTjSl2c4cdX6d4AaABAg,"{""Branch circuit design"": 35, ""Overcurrent protection"": 35, ""Grounding systems"": 15, ""Bonding systems"": 15}"
-cuW5q7dJ1A,UgzHuF8up7XAM_3uSmR4AaABAg,"{""Conductor terminations and splicing"": 70, ""Jobsite workflow, tools, and best practices"": 30}"
-cuW5q7dJ1A,UgxK5weEnLqEV_jnQCF4AaABAg,"{""NEC article interpretation"": 40, ""Grounding systems"": 15, ""Bonding systems"": 15, ""Branch circuit design"": 30}"
-cuW5q7dJ1A,UgwhWViNSFJgjG7iZGp4AaABAg,"{""Conductor terminations and splicing"": 90, ""Conductor insulation types"": 10}"
-cuW5q7dJ1A,UgxfK2Z4NR_y4uFX9kZ4AaABAg,"{""Transformers and power conversion"": 50, ""Battery storage systems"": 30, ""Grounding systems"": 10, ""Bonding systems"": 10}"
-cuW5q7dJ1A,Ugw_IBoJI5X6fM7xeYl4AaABAg,"{""Audio/visual system wiring"": 40, ""Low-voltage systems"": 35, ""Smart home wiring"": 25}"
-cuW5q7dJ1A,UgwLpZwydEidv8nz5Xh4AaABAg,"{""Switching devices and control"": 40, ""Luminaires and lighting fixtures"": 35, ""Grounding systems"": 25}"
-cuW5q7dJ1A,UgwW8b-vqyOP-L2yuMp4AaABAg,"{""Conductor terminations and splicing"": 50, ""Conductor sizing and ampacity"": 20, ""Workmanship and installation quality"": 30}"
-cuW5q7dJ1A,UgxCEIVKnV_xFfju4Ht4AaABAg,"{""Workmanship and installation quality"": 30, ""Conductor insulation types"": 30, ""Cable management and labeling"": 20, ""Jobsite workflow, tools, and best practices"": 20}"
-cuW5q7dJ1A,UgzVb3AagVOZ-cr_LER4AaABAg,"{""Conductor terminations and splicing"": 80, ""Solar PV system installation"": 20}"
-cuW5q7dJ1A,UgwbQbbyLhkl9lvdSdN4AaABAg,"{""Switching devices and control"": 50, ""Luminaires and lighting fixtures"": 30, ""Grounding systems"": 10, ""Bonding systems"": 10}"
-cuW5q7dJ1A,UgwWWP19JIcWUSTZDUx4AaABAg,"{""Audio/visual system wiring"": 100}"
-cuW5q7dJ1A,UgzIjDPDfi5DuEiUxqx4AaABAg,"{""Receptacles and device outlets"": 50, ""Grounding systems"": 13, ""Bonding systems"": 12, ""Code compliance and standards"": 25}"
-cuW5q7dJ1A,UgwpFiLHQk5MuUfJC_F4AaABAg,"{""Short-circuit protection"": 40, ""Conductor insulation types"": 35, ""Workmanship and installation quality"": 25}"
-cuW5q7dJ1A,Ugytw0cF7IEgSqOiJJh4AaABAg,"{""Grounding systems"": 20, ""Bonding systems"": 20, ""Conduit and raceway systems"": 30, ""Panelboards and load centers"": 30}"
-cuW5q7dJ1A,UgzsyZIb5GKDUAgz-hJ4AaABAg,"{""Conductor terminations and splicing"": 85, ""Device mounting and installation"": 15}"
-cuW5q7dJ1A,UgzqEI-wFcwdw0z6C7R4AaABAg,"{""Receptacles and device outlets"": 50, ""Power distribution systems"": 30, ""Grounding systems"": 10, ""Bonding systems"": 10}"
-cuW5q7dJ1A,UgxgrkILqnXLztPiNAJ4AaABAg,"{""Conductor terminations and splicing"": 100}"
-cuW5q7dJ1A,Ugwq-rnGdRRRgoYZptV4AaABAg,"{""Low-voltage systems"": 100}"
-cuW5q7dJ1A,UgzwuLSd3o3WS_8M3X14AaABAg,"{""Conductor terminations and splicing"": 40, ""Inspection and testing procedures"": 35, ""Conductor insulation types"": 25}"
-cuW5q7dJ1A,UgwO26MRwkXOCe4dIw14AaABAg,"{""Electrical safety practices"": 40, ""Inspection and testing procedures"": 35, ""PPE usage and hazard mitigation"": 25}"
-cuW5q7dJ1A,UgxajkQxgyoeS8vQEUN4AaABAg,"{""Audio/visual system wiring"": 50, ""CCTV and surveillance wiring"": 30, ""Inspection and testing procedures"": 20}"
-cuW5q7dJ1A,UgzLoS1wPw1ft2Lmdql4AaABAg,"{""Conductor terminations and splicing"": 70, ""Jobsite workflow, tools, and best practices"": 30}"
-cuW5q7dJ1A,UgyYY94bRuzXKLgwIGJ4AaABAg,"{""Overcurrent protection"": 40, ""Protection coordination and device selection"": 35, ""Short-circuit protection"": 25}"
-cuW5q7dJ1A,UgxQ8p1F8AUQgzvHdjh4AaABAg,"{""Conductor terminations and splicing"": 70, ""Conductor insulation types"": 30}"
-cuW5q7dJ1A,Ugyv10xQh7Qg1X4mj-x4AaABAg,"{""Grounding systems"": 18, ""Bonding systems"": 17, ""Arc fault protection"": 15, ""Ground fault protection"": 15, ""Conductor sizing and ampacity"": 18, ""Wire gauge and conductor selection"": 17}"
-cuW5q7dJ1A,UgwWfTL2YuR7Ksh5kMB4AaABAg,"{""Receptacles and device outlets"": 50, ""Conductor terminations and splicing"": 30, ""Workmanship and installation quality"": 20}"
-cuW5q7dJ1A,UgyfB7395MgwrE2zhn94AaABAg,"{""Motor circuits and motor controls"": 75, ""Project planning and electrical layout"": 25}"
-cuW5q7dJ1A,UgxAmkqbBj5TxEbQqOR4AaABAg,"{""Conductor terminations and splicing"": 40, ""Electrical safety practices"": 35, ""Lockout\u2013tagout procedures"": 25}"
-cuW5q7dJ1A,Ugwf6XGcLUiG9J28i914AaABAg,"{""Grounding systems"": 20, ""Bonding systems"": 20, ""Code compliance and standards"": 35, ""Electrical safety practices"": 25}"
-cuW5q7dJ1A,Ugzi4axuq3ZeRUSlUSF4AaABAg,"{""Conductor terminations and splicing"": 50, ""Wire gauge and conductor selection"": 30, ""NEC article interpretation"": 20}"
-cuW5q7dJ1A,UgwUhQRtr6260NaL9-B4AaABAg,"{""Conductor terminations and splicing"": 50, ""Grounding systems"": 25, ""Bonding systems"": 25}"
-cuW5q7dJ1A,UgyjhAMU4o4xBsiCIap4AaABAg,"{""Ethernet and communication wiring"": 60, ""Structured cabling systems"": 25, ""Grounding systems"": 8, ""Bonding systems"": 7}"
-cuW5q7dJ1A,UgzhiGH41bMNBrupiz94AaABAg,"{""Inspection and testing procedures"": 50, ""Commissioning and troubleshooting"": 30, ""Switching devices and control"": 20}"
-cuW5q7dJ1A,UgyRwtuAzhZRCGLsccF4AaABAg,"{""Grounding systems"": 20, ""Bonding systems"": 20, ""Luminaires and lighting fixtures"": 30, ""Wire gauge and conductor selection"": 30}"
-cuW5q7dJ1A,UgwudI9kWJaUNHMA8lJ4AaABAg,"{""Electrical service equipment"": 45, ""Grounding systems"": 18, ""Bonding systems"": 17, ""Panelboards and load centers"": 20}"
-cuW5q7dJ1A,UgzWAOrEzIO6dKA6ixt4AaABAg,"{""Wire gauge and conductor selection"": 40, ""Raceway fill and conductor count"": 35, ""Luminaires and lighting fixtures"": 25}"
-cuW5q7dJ1A,Ugx8SK83DAL7X5jDMUB4AaABAg,"{""Luminaires and lighting fixtures"": 30, ""Switching devices and control"": 25, ""Wire gauge and conductor selection"": 25, ""Grounding systems"": 10, ""Bonding systems"": 10}"
-cuW5q7dJ1A,UgyfRzE3uFcCpcifxe14AaABAg,"{""Conductor terminations and splicing"": 75, ""PPE usage and hazard mitigation"": 25}"
-cuW5q7dJ1A,UgwNmJys1L90AqFyeJF4AaABAg,"{""Conductor sizing and ampacity"": 65, ""Conductor terminations and splicing"": 35}"
-cuW5q7dJ1A,Ugza4wM09JZdWsoDMkR4AaABAg,"{""Conductor terminations and splicing"": 50, ""Jobsite workflow, tools, and best practices"": 30, ""Junction boxes and pull boxes"": 20}"
-cuW5q7dJ1A,UgxKgseMwD-rKgs8iOB4AaABAg,"{""Luminaires and lighting fixtures"": 40, ""Switching devices and control"": 35, ""Grounding systems"": 13, ""Bonding systems"": 12}"
-cuW5q7dJ1A,UgziVzhwa4YvMYC1TaV4AaABAg,"{""Electrical safety practices"": 50, ""PPE usage and hazard mitigation"": 30, ""Conductor insulation types"": 20}"
-cuW5q7dJ1A,UgzP1-9LcY2KTo9WLid4AaABAg,"{""Conductor sizing and ampacity"": 45, ""Wire gauge and conductor selection"": 35, ""Branch circuit design"": 20}"
-cuW5q7dJ1A,Ugx-_St15gxP_fcJkud4AaABAg,"{""Lighting control systems"": 40, ""Luminaires and lighting fixtures"": 35, ""Switching devices and control"": 25}"
-cuW5q7dJ1A,UgxZNQ_PVSosv4vlSWh4AaABAg,"{""Conductor terminations and splicing"": 50, ""Conductor insulation types"": 30, ""Fault current paths"": 20}"
-cuW5q7dJ1A,UgwamFo0FYOnSrXWIaR4AaABAg,"{""Branch circuit design"": 40, ""Grounding systems"": 18, ""Bonding systems"": 17, ""Wire gauge and conductor selection"": 25}"
-cuW5q7dJ1A,UgwtimUpcHKlfDNodtZ4AaABAg,"{""Conductor terminations and splicing"": 40, ""Conductor insulation types"": 30, ""Code compliance and standards"": 30}"
-cuW5q7dJ1A,Ugy2XLue7TzcOyjyeMN4AaABAg,"{""Audio/visual system wiring"": 40, ""Smart home wiring"": 35, ""Building automation and controls"": 25}"
-cuW5q7dJ1A,Ugxa-tpgQilecuFKmO14AaABAg,"{""Audio/visual system wiring"": 40, ""Battery storage systems"": 35, ""Fiber optic cable systems"": 25}"
-cuW5q7dJ1A,UgxeiZdz1fJ3yj6XGkV4AaABAg,"{""Receptacles and device outlets"": 50, ""Grounding systems"": 15, ""Bonding systems"": 15, ""Arc fault protection"": 10, ""Ground fault protection"": 10}"
-cuW5q7dJ1A,UgyzKNj2B1dwVHT5mrd4AaABAg,"{""Luminaires and lighting fixtures"": 40, ""Wire gauge and conductor selection"": 35, ""Grounding systems"": 13, ""Bonding systems"": 12}"
-cuW5q7dJ1A,Ugywvj3F26_cgLmn9qF4AaABAg,"{""Conductor terminations and splicing"": 70, ""Wire gauge and conductor selection"": 30}"
-cuW5q7dJ1A,Ugxf3ZwfoWOyEJBHx1Z4AaABAg,"{""Luminaires and lighting fixtures"": 30, ""Wire gauge and conductor selection"": 25, ""Switching devices and control"": 25, ""Grounding systems"": 10, ""Bonding systems"": 10}"
-cuW5q7dJ1A,UgzunVS7nMTKIUZI99x4AaABAg,"{""Grounding systems"": 30, ""Bonding systems"": 30, ""Receptacles and device outlets"": 25, ""NEC article interpretation"": 15}"
-cuW5q7dJ1A,Ugw3nKAJrdHQeaZppa94AaABAg,"{""Battery storage systems"": 100}"
-cuW5q7dJ1A,UgzMd6osOyZMERFGnJl4AaABAg,"{""Electrical theory and fundamentals"": 50, ""Grounding systems"": 15, ""Bonding systems"": 15, ""Arc fault protection"": 10, ""Ground fault protection"": 10}"
-cuW5q7dJ1A,Ugz2dDDhcyrTa7SaI-54AaABAg,"{""Conductor terminations and splicing"": 80, ""Cable management and labeling"": 20}"
